city_development_index,experience_num,last_new_job_num,company_size_num,education_num,company_type_was_missing,company_size_was_missing,gender_was_missing,gender_Female,gender_Male,gender_Other,gender_Unknown,relevent_experience_Has relevent experience,relevent_experience_No relevent experience,enrolled_university_Full time course,enrolled_university_Part time course,enrolled_university_no_enrollment,major_discipline_Arts,major_discipline_Business Degree,major_discipline_Humanities,major_discipline_No Major,major_discipline_Other,major_discipline_STEM,major_discipline_Unknown,company_type_Early Stage Startup,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_Unknown,target,training_hours_log,career_stage_num,stability_score,upskilling_intensity
0.92,21.0,1.0,0.0,3.0,1,1,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,3.6109179126442243,2,0.1,0.16413263239291928
0.7759999999999999,15.0,5.0,3.0,3.0,0,0,0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.0,3.871201010907891,2,0.6875,0.2419500631817432
0.624,5.0,0.0,0.0,3.0,1,1,1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.0,4.430816798843313,1,0.0,0.7384694664738856
0.789,0.0,0.0,0.0,3.0,0,1,1,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.0,3.970291913552122,0,0.0,3.970291913552122
0.767,21.0,4.0,3.0,4.0,0,0,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0.0,2.1972245773362196,2,0.5875,0.09987384442437362
0.764,11.0,1.0,0.0,3.0,1,1,1,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,3.2188758248682006,2,0.1,0.26823965207235007
0.92,5.0,1.0,3.0,2.0,0,0,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,3.2188758248682006,1,0.2875,0.5364793041447001
0.762,13.0,5.0,1.0,3.0,0,0,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.0,2.9444389791664403,2,0.5625,0.21031706994046
0.92,7.0,1.0,3.0,3.0,0,0,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.0,3.8501476017100584,1,0.2875,0.4812684502137573
0.92,17.0,5.0,8.0,3.0,0,0,1,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.0,4.820281565605037,2,1.0,0.267793420311391
0.624,2.0,0.0,0.0,2.0,1,1,1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1.0,3.4965075614664802,0,0.0,1.1655025204888267
0.92,5.0,1.0,7.0,3.0,0,0,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.0,4.6913478822291435,1,0.5375,0.7818913137048572
